key,d_upland,afr_final,a_crop,a_forage,x_woodland,a_tot,n_farm,sh_dairy_GM,sh_cereal_GM,sh_crop_GM,sh_livestock_GM,sh_dairy_area,sh_cereal_area,sh_crop_area,sh_livestock_area,d_class_dairy,d_class_cereal,d_class_crop,d_class_livestock,class,total_fixed_cost,total_fixed_cost_ex_lab,total_fixed_cost_pix,total_fixed_cost_ex_lab_pix
Eng_130000_20000,0,21.7899433446019,3.22527641851048,13.2199370861054,0.30684369802475,16.7520572026406,0.768797648424846,0.634218650434464,0.0575297670624624,0.294574361789152,0.705425638210848,0.223945558273213,0.083945529139845,0.196122502003711,0.803877497996289,0,0,0,1,livestock,1035,560,17020.7959772774,9209.31956258486
Eng_130000_25000,0,22.3925735729104,1.63420801103348,6.68243741989136,0.156974703073502,8.47362013399834,0.378412070698715,0.628289167266876,0.0571991989311745,0.296059192409429,0.703940807590571,0.222327177963972,0.0836533008779165,0.196498458976836,0.803501541023163,0,0,0,1,livestock,1035,560,8607.72802100721,4657.32144131791
Eng_135000_20000,0,14.8322617142385,213.738968849182,872.002426147461,21.2480144500732,1106.98940944672,74.6338913629094,0.624592867329571,0.0580291849509392,0.311970026059204,0.688029973940796,0.214159456459122,0.0822941154392176,0.196859924319127,0.803140075680874,0,0,0,1,livestock,1035,560,1123742.34382153,608015.18119812
Eng_135000_25000,0,25.8381669295262,362.68339946121,1475.67501831055,36.5683784484863,1874.92679622024,72.5642341940944,0.619772163246986,0.0579895864210042,0.316927829641017,0.683072170358983,0.211299539775724,0.0817917987905878,0.197286555197877,0.802713444802123,0,0,0,1,livestock,1035,560,1902700.96239377,1029480.71395218
Eng_135000_30000,0,21.6550032427585,292.50902591832,1193.66555786133,28.9413223266602,1515.11590610631,69.9660900126149,0.625744479325255,0.0579648807333786,0.309977444950858,0.690022555049142,0.215321287768242,0.0824879495460278,0.196820097121032,0.803179902878968,0,0,0,1,livestock,1035,560,1538190.69421194,832257.766916603
Eng_135000_35000,0,4.68885520522983,38.106303866487,155.628824234009,3.76061701774597,197.495745118242,42.1202482213483,0.6268174102084,0.0580113096303264,0.309288253170518,0.690711746829482,0.215723073261053,0.0825637212560507,0.196692795158554,0.803307204841446,0,0,0,1,livestock,1035,560,200515.857584013,108491.671736278
Eng_140000_20000,0,11.8512775122876,130.836134837009,535.309524536133,12.7833995819092,678.929058955051,57.2874154918004,0.630203567999598,0.0580447277947224,0.305964068825498,0.694035931174502,0.217717317196969,0.082912406592005,0.196407697019491,0.803592302980509,0,0,0,1,livestock,1035,560,689460.757451201,373041.569248959
Eng_140000_25000,0,28.4457323498419,447.594774231314,1822.29275512696,45.0144500732422,2314.90197943152,81.3795880155774,0.620727482877715,0.0580115243522933,0.316090157688845,0.683909842311155,0.21177642179922,0.0818777475783736,0.197188084626314,0.802811915373686,0,0,0,1,livestock,1035,560,2349333.59288581,1271137.01644063
Eng_140000_30000,0,28.4457323498419,342.902753200382,1399.94512939453,33.9044380187988,1776.75232061371,62.4611206616935,0.625526982117165,0.0579448032109947,0.309605993338748,0.690394006661252,0.215345711201142,0.0824973887614542,0.196748526721584,0.803251473278416,0,0,0,1,livestock,1035,560,1803847.55848573,975994.814253151
Eng_140000_35000,0,19.0738730882576,67.7084378404543,277.712985992431,6.43692064285278,351.858344475738,18.4471367114397,0.63285130863364,0.0575077461874319,0.294080990500598,0.705919009499402,0.223580058485615,0.0839619975023222,0.196016903321004,0.803983096678996,0,0,0,1,livestock,1035,560,357511.173667037,193435.997346416
Eng_145000_20000,0,1.18136032245211,10.9267992291716,44.8970627784729,1.03497469425201,56.8588367018965,48.1299698502457,0.638649711068766,0.0579257065231444,0.295038626134308,0.704961373865692,0.224170733157995,0.0840206493256208,0.195737070783015,0.804262929216985,0,0,0,1,livestock,1035,560,57777.6971779121,31261.3627242809
Eng_145000_25000,0,7.85949820596583,124.732097435743,508.876983642579,12.3678951263428,645.976976204664,82.1906130997433,0.625638363084279,0.0580252782316639,0.311060543085298,0.688939456914702,0.21483642828845,0.0824055573370382,0.196859706024832,0.803140293975168,0,0,0,1,livestock,1035,560,655785.398916063,354821.08540386
Eng_145000_30000,0,27.0296365201063,360.985933952034,1467.61729431152,36.5374870300293,1865.14071529359,69.0035440878452,0.618746535820421,0.058005455769735,0.31845188782802,0.68154811217198,0.210526174077851,0.0816555379866808,0.197410749566939,0.802589250433061,0,0,0,1,livestock,1035,560,1892604.34125278,1024017.80782759
Eng_145000_35000,0,28.0672821836705,215.99975351803,885.662017822266,20.6820945739746,1122.34386591427,39.9876218356207,0.633676865525111,0.0577809384425272,0.297804458869888,0.702195541130112,0.222018431157939,0.0836734862676945,0.196067213311071,0.803932786688929,0,0,0,1,livestock,1035,560,1140219.93333721,616930.591950566
Eng_145000_40000,0,1.79683136540158,33.0975284560118,135.774864196777,3.18408966064453,172.056482313434,95.7554980541984,0.633582035361097,0.0579295832167272,0.300097573155984,0.699902426844016,0.220797823207577,0.0834487535914904,0.195991351434584,0.804008648565416,0,0,0,1,livestock,1035,560,174782.926395637,94568.5398855619
Eng_150000_25000,0,2.539815361268,37.829377695918,92.2639989852905,4.31691551208496,134.410292193294,52.9212848473321,0.577042071273383,0.0686207065861146,0.356007790130101,0.643992209869899,0.234182159436081,0.116926628193753,0.290786346399619,0.709213653600381,0,0,0,0,mixed,1151.66666666667,740,149824.205477859,96269.0987440943
