i,GM_RAS,units
133,-17796.8148821431,0
134,-23514.4818501656,0
135,-37184.7274117976,0
136,-17438.5797825533,0
137,26829.3304029666,26
138,172808.798142766,38
139,131044.892193541,17
140,-6556.93343253346,0
141,34307.1557592872,10
142,-17084.8633580624,0
143,-1423.90304816142,0
144,-17440.8391201027,0
145,-28403.6099980271,0
146,-17440.8391201027,0
147,-12030.6981640454,0
148,4484.7026357461,15
149,-17796.8148821431,0
150,-17440.8391201027,0
151,15712.8518489767,20
152,-4329.56912793487,0
153,-2435.16318943712,0
154,21370.3552956043,70
155,148776.469802461,27
156,-26055.7216255179,0
157,-3286.14928218962,0
158,4128.72687370575,24
159,20145.6629456471,47
160,4128.72687370575,24
161,-18152.7906441834,0
162,-28759.5857600675,0
163,14735.5219895898,34
164,3772.75111166539,33
165,-7190.01976625901,0
166,3793.2976815931,15
167,-26590.3644166347,0
168,4493.90103733027,55
169,2497.72143912769,78
170,49322.104272319,62
172,-34401.8470530534,0
173,449.607127013838,1
174,-28047.6342359868,0
175,36305.0879833983,45
176,-7545.9955282993,0
177,20145.6629456471,47
178,9894.84359180345,28
179,9894.84359180345,28
180,8400.08004239952,28
181,13125.8910579709,29
182,-7281.96149487997,0
183,-1804.0471798082,0
184,-363.054041849915,0
185,10407.5844176799,69
186,82672.5539626637,58
187,-32367.179193455,0
188,-40798.1756123256,0
189,-13196.2231693791,0
190,-28047.6342359868,0
191,-17084.8633580624,0
192,20501.6387076874,38
193,-1419.65870418923,0
194,-13873.0236570578,0
195,8608.62318372715,35
196,-26715.3860933122,0
197,-40798.1756123256,0
198,-45462.9982731114,0
199,9158.7236981162,30
200,1440.99313795828,45
201,-6661.00225898845,0
202,-25533.6361154652,0
203,83053.4774106584,35
204,0,0
205,46321.6443621945,6
206,5385.39137026139,5
207,0,0
208,0,0
209,-45743.0879074453,0
210,-24404.7561402702,0
211,-36826.622695599,0
212,32507.3682637388,19
213,-28660.8129921516,0
214,-2315.55102525017,0
215,-28586.5440148372,0
216,9158.7236981162,30
217,-20484.5486178906,0
218,-32888.3126337732,0
219,-51568.8140718555,0
220,-37553.1352945591,0
221,12211.6315974882,40
222,-4664.82266078587,0
223,-3415.96194122208,0
224,-3573.35340784607,0
225,52401.8843001585,28
226,6105.81579874412,20
227,-7161.97172351702,0
228,75050.5041525748,10
229,-18680.5014380823,0
230,0,0
231,0,0
232,-14565.1075017724,0
233,-13851.3851343493,0
234,-18872.6338564768,0
235,-15627.5935387103,0
236,-27839.2251361985,0
237,-54621.7219712276,0
238,-43658.9510933032,0
239,-28031.3575545929,0
240,-15627.5935387103,0
241,-12766.8180577326,0
242,-15819.7259571047,0
243,-33251.3666756232,0
244,-8272.91702040238,0
245,9158.7236981162,30
246,-25341.5036970709,0
247,-14570.8652375408,0
248,46744.4426430721,10
249,-21925.5417558488,0
250,1203.20434745873,3
251,-42455.9743687021,0
252,-9596.14325351884,0
253,-43543.8835832757,0
254,-49956.8993104417,0
255,-31084.265453965,0
256,-40798.1756123256,0
257,-51568.8140718555,0
258,-12766.8180577326,0
259,-32696.1802153788,0
260,-22982.2700570181,0
261,-9521.77773996611,0
262,-23537.4565172626,0
263,-34500.227395187,0
264,6105.81579874412,20
265,-26590.3644166347,0
266,-4664.82266078587,0
267,-23729.5889356571,0
268,-23729.5889356571,0
269,41205.7386301008,13
270,-37553.1352945591,0
271,75927.0955965762,26
272,-7909.86297855235,0
273,-36958.1333702962,0
274,-40798.1756123256,0
275,-18872.6338564768,0
276,-7909.86297855235,0
277,3052.90789937206,10
278,-43658.9510933032,0
280,-10770.63845953,0
281,-53009.8072098138,0
282,-36304.2745749953,0
283,-1611.91476141382,0
284,21370.3552956043,70
285,-26590.3644166347,0
286,-26590.3644166347,0
287,-1611.91476141382,0
288,-42047.0363318894,0
289,-54621.7219712276,0
290,65197.520497869,20
291,-23537.4565172626,0
292,45898.6740097096,27
293,-14015.6787772965,0
294,-40798.1756123256,0
295,-15819.7259571047,0
297,3052.90789937206,10
298,-18872.6338564768,0
301,6105.81579874412,20
302,-26782.4968350291,0
303,-9521.77773996611,0
304,-9521.77773996611,0
305,-4856.95507918028,0
306,-26782.4968350291,0
307,-37745.2677129535,0
308,-18872.6338564768,0
309,-21733.4093374544,0
310,-7717.73056015791,0
311,-13187.8580906323,0
312,-1804.0471798082,0
313,42573.5221114015,6
314,47432.2273939418,21
315,-18680.5014380823,0
316,-26782.4968350291,0
317,-19929.3621576462,0
318,-15627.5935387103,0
319,-26782.4968350291,0
320,3052.90789937206,10
321,-7909.86297855235,0
322,-29643.2723160067,0
323,-29643.2723160067,0
324,-37745.2677129535,0
325,-4856.95507918028,0
