i,stocking_dairy_temp,stocking_dairy_perm,stocking_dairy_rough,stocking_beef_temp,stocking_beef_perm,stocking_beef_rough,stocking_sheep_temp,stocking_sheep_perm,stocking_sheep_rough,herd_dairy,herd_beef,herd_sheep,ig_herd_dairy,ig_herd_beef,ig_herd_sheep,dairy,beef,sheep
26,3,0.00944881822805514,0,0,1.03033534960678,0,0,0,9.2902808819099,1056.60665130615,942.891548156738,863.213828086853,0,0,0,1056.60665130615,942.891548156738,863.213828086853
27,2.11027065814222,0,0,0,1.08734491028142,0,0,0,35.1842422675685,583.994735717773,915.228378295898,807.862113952637,0,0,0,583.994735717773,915.228378295898,807.862113952637
28,2.16590355673308,0,0,0,1.0984343725982,0,0,0,37.6452106089096,342.551349639893,529.836765289307,494.017063140869,0,0,0,342.551349639893,529.836765289307,494.017063140869
29,3,0.0351458167567987,0,0,0.908145735613528,0,0,0.382440333986166,45,3.95531615614891,3.8744470179081,3.60117717087269,0,0,0,3.95531615614891,3.8744470179081,3.60117717087269
30,3,0.391170429867083,0,0,1.08032012643452,0,0,0,26.5096595186717,72.2977294921875,47.2075424194336,200.812106847763,0,0,0,72.2977294921875,47.2075424194336,200.812106847763
31,3,0.300471670751623,0,0,1.02730840101031,0,0,0,8.19962581993691,596.888175964355,392.383277893066,512.339423656464,0,0,0,596.888175964355,392.383277893066,512.339423656464
32,3,0.244046769190864,0,0,0.992876506752421,0,0,0,5.60973876187994,1356.10577392578,893.454383850098,796.853650093079,0,0,0,1356.10577392578,893.454383850098,796.853650093079
33,3,0.100815869777215,0,0,1.03692464633605,0,0,0,8.07311823616602,823.688102722168,668.13952255249,622.939879417419,0,0,0,823.688102722168,668.13952255249,622.939879417419
34,2.61561315498661,0,0,0,1.06146937046713,0,0,0,16.3317176533196,781.184143066406,890.685012817383,893.479288101196,0,0,0,781.184143066406,890.685012817383,893.479288101196
35,2.15150430500378,0,0,0,1.09277463347472,0,0,0,40.3722024074682,509.956420898438,789.907981872559,789.975721359253,0,0,0,509.956420898438,789.907981872559,789.975721359253
36,2.24598094983972,0,0,0,1.1048999240822,0,0,0,40.9136655990615,320.323642730713,480.25910949707,510.032782554626,0,0,0,320.323642730713,480.25910949707,510.032782554626
37,2.80852139180363,0,0,0,0.924206491804243,0,0,0.372024259890626,45,264.675178527832,287.267509460449,297.895033359528,0,0,0,264.675178527832,287.267509460449,297.895033359528
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5660624206066,0,0,17.5660624206066
